model,threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,brier_score,log_loss,tn,fp,fn,tp,selected
decision_tree,0.1,0.8571428571428571,0.875,0.75,1.0,0.8571428571428571,0.9583333333333333,0.9166666666666666,0.07214285714285715,0.1994778138533419,3,1,0,3,False
decision_tree,0.15,0.8571428571428571,0.875,0.75,1.0,0.8571428571428571,0.9583333333333333,0.9166666666666666,0.07214285714285715,0.1994778138533419,3,1,0,3,False
decision_tree,0.2,0.8571428571428571,0.875,0.75,1.0,0.8571428571428571,0.9583333333333333,0.9166666666666666,0.07214285714285715,0.1994778138533419,3,1,0,3,False
decision_tree,0.25,0.8571428571428571,0.875,0.75,1.0,0.8571428571428571,0.9583333333333333,0.9166666666666666,0.07214285714285715,0.1994778138533419,3,1,0,3,False
decision_tree,0.3,0.8571428571428571,0.875,0.75,1.0,0.8571428571428571,0.9583333333333333,0.9166666666666666,0.07214285714285715,0.1994778138533419,3,1,0,3,False
decision_tree,0.35,0.8571428571428571,0.875,0.75,1.0,0.8571428571428571,0.9583333333333333,0.9166666666666666,0.07214285714285715,0.1994778138533419,3,1,0,3,False
decision_tree,0.4,0.8571428571428571,0.875,0.75,1.0,0.8571428571428571,0.9583333333333333,0.9166666666666666,0.07214285714285715,0.1994778138533419,3,1,0,3,False
decision_tree,0.45,0.8571428571428571,0.875,0.75,1.0,0.8571428571428571,0.9583333333333333,0.9166666666666666,0.07214285714285715,0.1994778138533419,3,1,0,3,False
decision_tree,0.5,0.8571428571428571,0.875,0.75,1.0,0.8571428571428571,0.9583333333333333,0.9166666666666666,0.07214285714285715,0.1994778138533419,3,1,0,3,True
decision_tree,0.55,0.8571428571428571,0.875,0.75,1.0,0.8571428571428571,0.9583333333333333,0.9166666666666666,0.07214285714285715,0.1994778138533419,3,1,0,3,False
decision_tree,0.6,0.8571428571428571,0.8333333333333333,1.0,0.6666666666666666,0.8,0.9583333333333333,0.9166666666666666,0.07214285714285715,0.1994778138533419,4,0,1,2,False
decision_tree,0.65,0.8571428571428571,0.8333333333333333,1.0,0.6666666666666666,0.8,0.9583333333333333,0.9166666666666666,0.07214285714285715,0.1994778138533419,4,0,1,2,False
decision_tree,0.7,0.8571428571428571,0.8333333333333333,1.0,0.6666666666666666,0.8,0.9583333333333333,0.9166666666666666,0.07214285714285715,0.1994778138533419,4,0,1,2,False
decision_tree,0.75,0.8571428571428571,0.8333333333333333,1.0,0.6666666666666666,0.8,0.9583333333333333,0.9166666666666666,0.07214285714285715,0.1994778138533419,4,0,1,2,False
decision_tree,0.8,0.8571428571428571,0.8333333333333333,1.0,0.6666666666666666,0.8,0.9583333333333333,0.9166666666666666,0.07214285714285715,0.1994778138533419,4,0,1,2,False
decision_tree,0.85,0.8571428571428571,0.8333333333333333,1.0,0.6666666666666666,0.8,0.9583333333333333,0.9166666666666666,0.07214285714285715,0.1994778138533419,4,0,1,2,False
decision_tree,0.9,0.8571428571428571,0.8333333333333333,1.0,0.6666666666666666,0.8,0.9583333333333333,0.9166666666666666,0.07214285714285715,0.1994778138533419,4,0,1,2,False
dummy_prior,0.1,0.42857142857142855,0.5,0.42857142857142855,1.0,0.6,0.5,0.42857142857142855,0.24535714285714283,0.6838387273822566,0,4,0,3,False
dummy_prior,0.15,0.42857142857142855,0.5,0.42857142857142855,1.0,0.6,0.5,0.42857142857142855,0.24535714285714283,0.6838387273822566,0,4,0,3,False
dummy_prior,0.2,0.42857142857142855,0.5,0.42857142857142855,1.0,0.6,0.5,0.42857142857142855,0.24535714285714283,0.6838387273822566,0,4,0,3,False
dummy_prior,0.25,0.42857142857142855,0.5,0.42857142857142855,1.0,0.6,0.5,0.42857142857142855,0.24535714285714283,0.6838387273822566,0,4,0,3,False
dummy_prior,0.3,0.42857142857142855,0.5,0.42857142857142855,1.0,0.6,0.5,0.42857142857142855,0.24535714285714283,0.6838387273822566,0,4,0,3,False
dummy_prior,0.35,0.42857142857142855,0.5,0.42857142857142855,1.0,0.6,0.5,0.42857142857142855,0.24535714285714283,0.6838387273822566,0,4,0,3,False
dummy_prior,0.4,0.42857142857142855,0.5,0.42857142857142855,1.0,0.6,0.5,0.42857142857142855,0.24535714285714283,0.6838387273822566,0,4,0,3,False
dummy_prior,0.45,0.42857142857142855,0.5,0.42857142857142855,1.0,0.6,0.5,0.42857142857142855,0.24535714285714283,0.6838387273822566,0,4,0,3,True
dummy_prior,0.5,0.5714285714285714,0.5,0.0,0.0,0.0,0.5,0.42857142857142855,0.24535714285714283,0.6838387273822566,4,0,3,0,False
dummy_prior,0.55,0.5714285714285714,0.5,0.0,0.0,0.0,0.5,0.42857142857142855,0.24535714285714283,0.6838387273822566,4,0,3,0,False
dummy_prior,0.6,0.5714285714285714,0.5,0.0,0.0,0.0,0.5,0.42857142857142855,0.24535714285714283,0.6838387273822566,4,0,3,0,False
dummy_prior,0.65,0.5714285714285714,0.5,0.0,0.0,0.0,0.5,0.42857142857142855,0.24535714285714283,0.6838387273822566,4,0,3,0,False
dummy_prior,0.7,0.5714285714285714,0.5,0.0,0.0,0.0,0.5,0.42857142857142855,0.24535714285714283,0.6838387273822566,4,0,3,0,False
dummy_prior,0.75,0.5714285714285714,0.5,0.0,0.0,0.0,0.5,0.42857142857142855,0.24535714285714283,0.6838387273822566,4,0,3,0,False
dummy_prior,0.8,0.5714285714285714,0.5,0.0,0.0,0.0,0.5,0.42857142857142855,0.24535714285714283,0.6838387273822566,4,0,3,0,False
dummy_prior,0.85,0.5714285714285714,0.5,0.0,0.0,0.0,0.5,0.42857142857142855,0.24535714285714283,0.6838387273822566,4,0,3,0,False
dummy_prior,0.9,0.5714285714285714,0.5,0.0,0.0,0.0,0.5,0.42857142857142855,0.24535714285714283,0.6838387273822566,4,0,3,0,False
hist_gradient_boosting,0.1,0.8571428571428571,0.875,0.75,1.0,0.8571428571428571,0.8333333333333334,0.8055555555555556,0.14233181246195756,0.6578771115693842,3,1,0,3,False
hist_gradient_boosting,0.15,0.8571428571428571,0.875,0.75,1.0,0.8571428571428571,0.8333333333333334,0.8055555555555556,0.14233181246195756,0.6578771115693842,3,1,0,3,False
hist_gradient_boosting,0.2,0.8571428571428571,0.875,0.75,1.0,0.8571428571428571,0.8333333333333334,0.8055555555555556,0.14233181246195756,0.6578771115693842,3,1,0,3,False
hist_gradient_boosting,0.25,0.8571428571428571,0.875,0.75,1.0,0.8571428571428571,0.8333333333333334,0.8055555555555556,0.14233181246195756,0.6578771115693842,3,1,0,3,False
hist_gradient_boosting,0.3,0.8571428571428571,0.875,0.75,1.0,0.8571428571428571,0.8333333333333334,0.8055555555555556,0.14233181246195756,0.6578771115693842,3,1,0,3,False
hist_gradient_boosting,0.35,0.8571428571428571,0.875,0.75,1.0,0.8571428571428571,0.8333333333333334,0.8055555555555556,0.14233181246195756,0.6578771115693842,3,1,0,3,False
