model,configuration,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_f1_mean,cv_f1_std,selected_threshold,validation_accuracy,validation_balanced_accuracy,validation_precision,validation_recall,validation_f1,validation_roc_auc,validation_pr_auc,validation_brier_score,validation_log_loss,validation_tn,validation_fp,validation_fn,validation_tp,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_brier_score,test_log_loss,test_tn,test_fp,test_fn,test_tp,test_balanced_accuracy_ci_low,test_balanced_accuracy_ci_high,test_f1_ci_low,test_f1_ci_high
decision_tree,max_depth=None,0.48055555555555546,0.18933770208835526,0.485079365079365,0.18312906919403873,0.5,0.8571428571428571,0.875,0.75,1.0,0.8571428571428571,0.9583333333333333,0.9166666666666666,0.07214285714285715,0.1994778138533419,3,1,0,3,0.7142857142857143,0.75,0.6,1.0,0.75,0.5,0.6,0.3725,10.554402540071594,2,2,0,3,0.5,1.0,0.4,1.0
dummy_prior,strategy=prior,0.5,0.0,0.0,0.0,0.45,0.42857142857142855,0.5,0.42857142857142855,1.0,0.6,0.5,0.42857142857142855,0.24535714285714283,0.6838387273822566,0,4,0,3,0.42857142857142855,0.5,0.42857142857142855,1.0,0.6,0.5,0.42857142857142855,0.24535714285714283,0.6838387273822566,0,4,0,3,0.5,0.5,0.25,0.9230769230769231
hist_gradient_boosting,learning_rate=0.1,0.4916666666666666,0.14766704288891125,0.4566137566137566,0.12603869833644774,0.5,0.8571428571428571,0.875,0.75,1.0,0.8571428571428571,0.8333333333333334,0.8055555555555556,0.14233181246195756,0.6578771115693842,3,1,0,3,0.42857142857142855,0.5,0.42857142857142855,1.0,0.6,0.6666666666666666,0.5888888888888889,0.467732623394056,1.6181966928394504,0,4,0,3,0.5,0.5,0.25,0.9230769230769231
logistic_regression,C=10,0.6277777777777778,0.1606314699422329,0.5715873015873016,0.2246547139251436,0.8,0.7142857142857143,0.6666666666666666,1.0,0.3333333333333333,0.5,0.6666666666666666,0.7,0.25057651784646523,0.6522718039747543,4,0,2,1,0.2857142857142857,0.29166666666666663,0.25,0.3333333333333333,0.2857142857142857,0.41666666666666663,0.6095238095238096,0.5709601852668984,2.306336111802467,1,3,2,1,0.0,0.7083333333333333,0.0,0.6666666666666666
random_forest,max_depth=None,0.4305555555555555,0.169193803698234,0.3895238095238095,0.18872969148352856,0.45,0.8571428571428571,0.875,0.75,1.0,0.8571428571428571,0.8333333333333334,0.8055555555555556,0.18810579120100424,0.5642258568489068,3,1,0,3,0.5714285714285714,0.625,0.5,1.0,0.6666666666666666,0.6666666666666666,0.7,0.2457389893100097,0.6851752228845992,1,3,0,3,0.5,0.875,0.2857142857142857,0.9230769230769231
