retrieval_method,top_k,average_precision,average_recall,hit_rate,average_first_rank
BM25,3,0.44666666666666666,0.5635,0.94,1.3404255319148937
BM25,5,0.318,0.6613333333333332,0.98,1.469387755102041
BM25,10,0.19400000000000003,0.7986666666666666,1.0,1.61
Dense,3,0.44666666666666666,0.555,0.91,1.3406593406593406
Dense,5,0.324,0.6725,0.97,1.5154639175257731
Dense,10,0.18900000000000003,0.7836666666666666,0.98,1.5612244897959184
Hybrid,3,0.48666666666666664,0.6116666666666667,0.97,1.309278350515464
Hybrid,5,0.344,0.7158333333333333,0.98,1.346938775510204
Hybrid,10,0.205,0.8403333333333333,1.0,1.44
