variant,feature_count,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_f1_mean,cv_f1_std,balanced_accuracy_change_vs_all
all_features,22,0.5833333333333333,0.1687371394276382,0.5485714285714285,0.2180754825737484,0.0
without_score_distribution,11,0.425,0.11097213530798987,0.42666666666666664,0.1200503799509999,-0.15833333333333327
without_retrieval_diversity,17,0.5194444444444444,0.14098419489388353,0.43380952380952387,0.2584888347727847,-0.06388888888888888
without_query_context,16,0.6444444444444444,0.18749485589651338,0.636931216931217,0.18099991640243734,0.061111111111111116
